MacAddr1,MacAddr2,MacAddr3,MacAddr4,MacAddr5,MacAddr6,MacAddr7,MacAddr8,MacAddr9,MacAddr10,MacAddr11,MacAddr12,MacAddr13,MacAddr14,MacAddr15,MacAddr16,MacAddr17,MacAddr18,MacAddr19,MacAddr20,MacAddr21,MacAddr22,MacAddr23,MacAddr24,RoomLabel
-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-72,-100,-100,-100,-100,-100,-100,-100,-100,-72,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,L10
